key,key:user-account,company,statement,info
inventor-01,user-account-inventor-01,SonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySony,This is an example,http://www.example.com
inventor-02,user-account-inventor-02,TESLA,This is an example,http://www.example.com
inventor-03,user-account-inventor-03,Ubisóft,This is an example,http://www.example.com
inventor-04,user-account-inventor-04,Nintendo-España,This is an example,http://www.example.com
inventor-05,user-account-inventor-05,Nestlè,This is an example,http://www.example.com
inventor-06,user-account-inventor-06,Pepsi,This is an example,http://www.example.com
inventor-07,user-account-inventor-07,Pepsi,This is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThi,http://www.example.com
inventor-08,user-account-inventor-08,Pepsi,ｲんﾉ丂 ﾉ丂 ﾑ刀 乇ﾒﾑﾶｱﾚ乇 乃のりﾘ,http://www.example.com
inventor-09,user-account-inventor-09,Pepsi,【T】【h】【i】【s】 【i】【s】 【a】【n】 【e】【x】【a】【m】【p】【l】【e】 【b】【o】【d】【y】,http://www.example.com
inventor-10,user-account-inventor-10,Pepsi,[̲̅T][̲̅h][̲̅i][̲̅s] [̲̅i][̲̅s] [̲̅a][̲̅n] [̲̅e][̲̅x][̲̅a][̲̅m][̲̅p][̲̅l][̲̅e] [̲̅b][̲̅o][̲̅d][̲̅y],http://www.example.com
inventor-11,user-account-inventor-11,Pepsi,T҉h҉i҉s҉ ҉i҉s҉ ҉a҉n҉ ҉e҉x҉a҉m҉p҉l҉e҉ ҉b҉o҉d҉y҉,http://www.example.com
inventor-12,user-account-inventor-12,Pepsi,¸„.-•~¹°”ˆ˜¨ ⓣⒽ𝐢ⓢ ιร 𝕒𝓃 єЖΔᗰ𝕡ℓẸ 𝐁𝔬ᗪ𝐘 ¨˜ˆ”°¹~•-.„¸,http://www.example.com
inventor-13,user-account-inventor-13,Pepsi,(っ◔◡◔)っ ♥ This is an example body ♥,http://www.example.com
inventor-14,user-account-inventor-14,Pepsi,This is an example,null
inventor-15,user-account-inventor-15,Pepsi,This is an example,http://www.acme.com/a?b
inventor-16,user-account-inventor-16,Pepsi,This is an example҉,https://www.acme.com/a/b
inventor-17,user-account-inventor-17,Pepsi,This is an example,ftp://user:pass@acme.org
inventor-18,user-account-inventor-18,Pepsi,This is an example,http://a.b/c?d&e
inventor-19,user-account-palmero,Heaven,Don't misbehave!,https://goodgod.com
inventor-20,user-account-tworoles,Two roles inventor,Damn I have two roles and i'm an inventor,https://tworoles.com
