key,name,code,technology,description,retail-price,info,type,draft-mode,key:inventor,key:chimpum
item-01,Sensor-01,ABC-108-A,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-01,null
item-02,Sensor-02,ABC-108-B,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-03,Sensor-03,ABC-108-C,Adobe,It is a well known component,EUR 970.85,http://happybirthday.com,COMPONENT,FALSE,inventor-01,null
item-04,Sensor-04,ABC-108-D,Adobe,It is a well known component,EUR 970.85,http://www.sample-app.com,COMPONENT,FALSE,inventor-01,null
item-05,Sensor-05,ABC-108-E,Adobe,It is a well known component,EUR 970.85,https://www.sample-server.com,COMPONENT,FALSE,inventor-01,null
item-06,Sensor-06,ABC-108-F,Adobe,It is a well known component,EUR 970.85,ftp://www.weird-example.es,COMPONENT,FALSE,inventor-01,null
item-07,Sensor-07,ABC-108-G,Adobe,It is a well known component,"EUR 1,040.85",http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-08,Sensor-08,ABC-108-H,Adobe,It is a well known component,"USD 2,040.85",http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-09,Sensor-09,ABC-108-I,Adobe,It is a well known component,EUR 0.0,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-10,Sensor-10,ABC-108-J,Adobe,It is a well known component,USD 849.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-11,Sensor-11,ABC-108-K,Adobe,It is a well known component,EUR 100.99,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-12,Sensor-12,ABC-108-L,Adobe,It is a well known component,GBP 720.36,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-13,Sensor-13,ABC-108-M,Adobe,Es un componente muy conocido,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-14,Sensor-14,ABC-108-N,Adobe,Il est un composant bien connu,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-15,Sensor-15,ABC-102,Adobe,a,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-16,Sensor-16,ABC-108-O,Adobe,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......Dies ist eine Komponente, deren Name l�nger als 100 ...",EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-17,Sensor-17,ABC-108-P,Adobe,Είναι ένα γνωστό συστατικό,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-18,Sensor-18,ABC-108-Q,Adobe,よく知られたコンポーネントです,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-19,Sensor-19,ABC-108-R,a,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-20,Sensor-20,ABC-108-S,HeidiSQL,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-21,Sensor-21,ABC-108-T,PostgreSQL,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-22,Sensor-22,ABC-108-U,Blockchain,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-23,Sensor-23,ABC-108-V,Big Data,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-24,Sensor-24,ABC-108-W,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......",It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-25,Sensor-25,ABC-108-X,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-26,Sensor-26,ABC-108,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-27,Sensor-27,ABC-111-X,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-28,Sensor-28,ABC-111,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-29,Sensor-29,AWC-002,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-30,Sensor-30,AWC-002-S,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-31,センサー,ABC-108-Y,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-32,αισθητήρας,ABC-108-Z,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-33,a,ACC-108-A,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-34,Actuator,ACC-108-B,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-35,Διερμηνέας,ACC-108-C,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-36,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......",ACC-108-D,Adobe,It is a well known component,EUR 970.85,http://www.example.org,COMPONENT,FALSE,inventor-01,null
item-37,Sensor-37,ACC-108-E,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,TRUE,inventor-01,null
item-38,Sensor-38,ACC-108-F,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-02,null
item-39,Sensor-39,ACC-108-G,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-03,null
item-40,Sensor-40,ACC-108-H,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-04,null
item-41,Sensor-41,ACC-108-I,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-05,null
item-42,Sensor-42,ACC-108-J,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-06,null
item-43,Sensor-43,ACC-108-K,Adobe,It is a well known component,EUR 970.85,null,COMPONENT,FALSE,inventor-07,null
item-44,Hammer-44,ACC-108-L,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-01,null
item-45,Hammer-45,ACC-108-M,Adobe,It is a well known tool,EUR 970.85,https://www.acme.com/a/b,TOOL,FALSE,inventor-01,null
item-46,Hammer-46,ACC-108-N,Adobe,It is a well known tool,EUR 970.85,ftp://user:pass@acme.org,TOOL,FALSE,inventor-01,null
item-47,Hammer-47,ACC-108-O,Adobe,It is a well known tool,EUR 970.85,https://www.sample-server.com,TOOL,FALSE,inventor-01,null
item-48,Hammer-48,ACC-104,Adobe,It is a well known tool,EUR 970.85,ftp://www.weird-example.es,TOOL,FALSE,inventor-01,null
item-49,Hammer-49,ACC-108-P,Adobe,It is a well known tool,EUR 970.85,null,TOOL,FALSE,inventor-01,null
item-50,Hammer-50,ACC-108-Q,Adobe,It is a well known tool,"EUR 1,040.85",http://www.example.org,TOOL,FALSE,inventor-01,null
item-51,Hammer-51,ACC-108-R,Adobe,It is a well known tool,"USD 2,040.85",http://www.example.org,TOOL,FALSE,inventor-01,null
item-52,Hammer-52,ACC-108-S,Adobe,It is a well known tool,EUR 0.0,http://www.example.org,TOOL,FALSE,inventor-01,null
item-53,Hammer-53,ACC-108-T,Adobe,It is a well known tool,USD 849.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-54,Hammer-54,ACC-108-U,Adobe,It is a well known tool,EUR 100.99,http://www.example.org,TOOL,FALSE,inventor-01,null
item-55,Hammer-55,ACC-108-V,Adobe,Es una herramienta muy conocida,GBP 720.36,http://www.example.org,TOOL,FALSE,inventor-01,null
item-56,Hammer-56,ACC-108-W,Adobe,Il est un outil bien connu,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-57,Hammer-57,ACC-108-X,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-58,Hammer-58,ACC-108-Y,Adobe,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......Dies ist eine Komponente, deren Name l�nger als 100 ...",EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-59,Hammer-59,ACC-108-Z,Adobe,Είναι ένα πολύ γνωστό μέσο,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-60,Hammer-60,ACC-109-A,Adobe,a,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-61,Hammer-61,ACC-119-S,A,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-62,Hammer-62,ABC-119-S,MariaDB,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-63,Hammer-63,ABC-120-S,HeidiSQL,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-64,Hammer-64,ABC-121-S,Postgresql,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-65,Hammer-65,ABC-122-S,Blockchain,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-66,Hammer-66,ABC-123-S,Big Data,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-01
item-67,Hammer-67,ABC-124-S,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......",It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-68,Hammer-68,ABC-125-Z,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-02
item-69,Hammer-69,ABC-109,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-03
item-70,Hammer-70,ABC-111-F,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-04
item-71,Hammer-71,ABC-112,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-05
item-72,Hammer-72,AWC-003,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-06
item-73,Hammer-73,AWC-702-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-07
item-74,センサー,AZA-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-08
item-75,αισθητήρας,AZB-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-09
item-76,Toolbox,AZC-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-10
item-77,a,AZD-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-11
item-78,Διερμηνέας,AZE-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,chimpum-12
item-79,"Dies ist eine Komponente, deren Name l�nger als 100 Buchstaben sein muss und sehr wichtig ist ......",AZF-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.example.org,TOOL,FALSE,inventor-01,null
item-80,Hammer-80,ACC-109-K,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,TRUE,inventor-01,chimpum-13
item-81,Hammer-81,AZG-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-02,chimpum-14
item-82,Hammer-82,AZH-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-03,chimpum-15
item-83,Hammer-83,AZI-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-04,chimpum-16
item-84,Hammer-84,AZJ-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-05,chimpum-17
item-85,Hammer-85,AZK-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-06,chimpum-18
item-86,Hammer-86,AZL-108-S,Adobe,It is a well known tool,EUR 970.85,http://www.acme.com/a?b,TOOL,FALSE,inventor-07,chimpum-19
item-87,ComponentInPounds,IIP-000,MrBritish,It is a well known tool,GBP 99.99,,COMPONENT,FALSE,inventor-01,null
item-88,ToolInDollars,TID-999-Z,MrAmerica,It is a well known tool,USD 1.00,,TOOL,FALSE,inventor-01,
