key,key:user-account,company,statement,info
patron-01,user-account-patron-01,SonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySonySony,This is an example,http://www.example.com
patron-02,user-account-patron-02,TESLA,This is an example,http://www.example.com
patron-03,user-account-patron-03,Ubisóft,This is an example,http://www.example.com
patron-04,user-account-patron-04,Nintendo-España,This is an example,http://www.example.com
patron-05,user-account-patron-05,Nestlè,This is an example,http://www.example.com
patron-06,user-account-patron-06,Pepsi,This is an example,http://www.example.com
patron-07,user-account-patron-07,Pepsi,This is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThis is an exampleThi,http://www.example.com
patron-08,user-account-patron-08,Pepsi,ｲんﾉ丂 ﾉ丂 ﾑ刀 乇ﾒﾑﾶｱﾚ乇 乃のりﾘ,http://www.example.com
patron-09,user-account-patron-09,Pepsi,【T】【h】【i】【s】 【i】【s】 【a】【n】 【e】【x】【a】【m】【p】【l】【e】 【b】【o】【d】【y】,http://www.example.com
patron-10,user-account-patron-10,Pepsi,[̲̅T][̲̅h][̲̅i][̲̅s] [̲̅i][̲̅s] [̲̅a][̲̅n] [̲̅e][̲̅x][̲̅a][̲̅m][̲̅p][̲̅l][̲̅e] [̲̅b][̲̅o][̲̅d][̲̅y],http://www.example.com
patron-11,user-account-patron-11,Pepsi,T҉h҉i҉s҉ ҉i҉s҉ ҉a҉n҉ ҉e҉x҉a҉m҉p҉l҉e҉ ҉b҉o҉d҉y҉,http://www.example.com
patron-12,user-account-patron-12,Pepsi,¸„.-•~¹°”ˆ˜¨ ⓣⒽ𝐢ⓢ ιร 𝕒𝓃 єЖΔᗰ𝕡ℓẸ 𝐁𝔬ᗪ𝐘 ¨˜ˆ”°¹~•-.„¸,http://www.example.com
patron-13,user-account-patron-13,Pepsi,(っ◔◡◔)っ ♥ This is an example body ♥,http://www.example.com
patron-14,user-account-patron-14,Pepsi,This is an example,null
patron-15,user-account-patron-15,Pepsi,This is an example,http://www.acme.com/a?b
patron-16,user-account-patron-16,Pepsi,This is an example҉,https://www.acme.com/a/b
patron-17,user-account-patron-17,Pepsi,This is an example,ftp://user:pass@acme.org
patron-18,user-account-patron-18,Pepsi,This is an example,http://a.b/c?d&e
patron-19,user-account-palmero,Heaven,Don't misbehave!,https://goodgod.com
patron-20,user-account-tworoles,Two roles patron,Damn I have two roles and i'm a patron,https://tworoles.com
